刚转行做销售管理，带的团队业绩一直倒数第一	你能当销售管理说明已经击败百分之八十的人了诶很棒加油
被面试官说的得一文不值	别人的看法不重要，最重要的是自己要明白自己的价值！
感觉面试官不想理我	你很棒！多试几次，终归遇到自己的伯乐！
为什么别人有热爱的工作	想想美好的事情吧
感觉我的行业没有前景	你那独具慧眼的洞察力说明你有深刻的思想和独到的智慧
每次丧的时候都在鼓励自己	加油啊！！一切都会好起来的
每天都好丧	丧的时候出去运动，或者跟朋友聊聊天也挺好的。
一个人留在公司准备考试	你真有上进心 看你勤奋的样子也知道你可以过关
明天就要去上班了	能勇敢地走出舒适区真的太棒了！努力去上班和结交新的人，现在挤地铁是为了以后赚钱买车不挤地铁呀！一切都会好起来的！
跳槽去新的公司了	在一个新环境新同事新领导里，安心的展示自己吧。
哇我今天升职了	升职以及涨薪说明你的努力、业务水平都有被看到，而且公司也愿意为这个报酬买单
越来越害怕找工作了	没工作好久也能养活自己，这一点也很厉害
工作不顺心，感情不如意	加油！挺住！坚持一天是一天
工作加运动的一天	好健康、自律，佩服！
找工作不易	好拼哦！柳暗花明又一村，年轻人，继续加油吧
生活好难哦	活着已经很棒了！会好的，毕竟你已经会来寻求表扬了
感觉自己真的好菜	才刚刚开始，加油哇
今天又被项目经理骂了	明天争取改进就好了鸭，一起加油
我发现我好笨啊	时间长了就会发现总要有个过程的，谁都一样
面试的公司都没给回复	当初周杰伦成名前写了上百首歌也没出唱片，昔日韩信未当大将军前曾受胯下之辱
不知道去哪家公司啊	先想清楚吧，选择比努力更重要
又是啥也没干的一天	真好！今天也是闲暇无事的一天！可以好好睡一觉啦！真棒！
又是放空的一天	放空自己也是一种智慧
感觉在混吃等死	轻轻松松才是最大的惬意，别人想要也要不来，你真棒！
下定决心辞了职	下定决心辞了职，实力诠释真牛逼
明天开始写简历找工作	该起来了
今天工作犯了一个低级错误	没事没事，这次低级的而已，下次整个高级的！
今天准备做一点事了	你真棒，迈出了第一步，加油哦
准备找工作太难了吧	万事开头难，但是一旦开始就会比什么都不做要好 加油
讨厌上班讨厌同事	他们一定好烦哦
今年升职有问题	金子一定会发光的
五年才进大厂边缘部门	是的，运气不好要加倍努力
工资还没有室友的一半	已经很厉害啦，赞一个
下午面试官说话好快	现在觉得是pass了，就好好准备下一次面试吧
感觉面试要凉	要有积极的心态
收到面试被拒的通知了	塞翁失马焉知非福，再说了结果往往出人意料
成功成为社会人	你出生时，就不是自然状态
抑郁症但还在继续工作	 你很棒了，适当休息一下吧！
第一次面试失败了	不应该那么快妄自菲薄的，成功哪有那么迅速。
面试糊了，真的想要安慰	还有更好的机会等你
好久没工作了，着急	不要急，表现得大方自信点，会有好结果的
省考面试又失败了	有自信就成功一半啦
公务员上岸啦！	好棒！好好休息休息吧
省考面试逆袭失败	你已经很优秀啦！
实习面试没通过	别这么想哦，只要有机会就有希望，别放弃啊，好好准备下一次的面试
还没有找到工作	明天回越来越好的！
财会工作太难找了	别哭，该振作起来了
今天被领导说了	没关系，多学习学习你也可以熟悉业务的！
虽然不想工作但还是坚持工作	就像不知道生命的意义，却还坚持活着寻找一样
总监不给我安排工作我就焦虑	主动请缨啊
没找到工作还硬着头皮在找	哇，你太勇敢了，当待业青年太痛苦了
面试失败十几次	失败乃成功之母，加油！你想想爱迪生发明灯泡还失败了一千次，机会有可能在下一次。
一个月没有面试通知了	刚好可以去旅行，真好
感觉只有自己止步不前	每个人都生活在不同的时区，多关心自己，取悦自己最重要
明天第一天上班	哇你好棒，找到工作了呜呜呜我还没有找到
离职创业了	敢于做自己！很棒，一定要相信自己，加油哦
同事很讨厌	你做的很好了，语气讨厌就怼吧
感觉自己不够自信	每个人的性格不同，你已经很棒了
在领导面前好没自信啊	多读书，多见世面，自然就自信了，总得来说内心有力量。
感觉大学什么都没有做	现在加油也不晚的！工作以后慢慢努力就行了，意识到就好啊！
我就是丧到不想动	起码你自律地丧着，想开点
今年30岁，又失业了	工作会有的，面包也会有的
我又离职了	你这么聪明的人不去为社会做贡献简直浪费
事业单位考试失败	小可爱加油
教资面试又没过	下次也一定会过的噢
教资面试没过	抱抱你，袁湘琴都能考上护士，你也一定可以的。
我真的是日常一丧	坚持坚持吧
拉黑了一个客户	拉黑一时爽，一直拉一直爽
不爽就辞职了	有魄力
要提交辞呈了	深呼吸，梁静茹给你勇气！递出去海阔天空
想离开公司，有点紧张	又不是做了什么错事，跟公司的地位是平等的啊，只是在执行自己的决定。
不想工作…求安慰	工作就是为了更好的生活啊，所以为了这个目标，就再坚持吧，但是累了也要奖励自己一下哦！
今天发工资了求表扬	富家子弟，余额肯定特别多
实习还没过就快要被劝退了	要对自己做过的事儿负责，认真活好每一天
公司没给我加薪	那就默默自我提升，骑驴找马吧，本事大了到哪儿都是爷
感觉被全公司无视了	说明这个公司文化不行
工作量变多了	说明你能力变强了
大三了很迷茫	像白纸一样单纯的毕业生，很多公司抢着要培养，加油
是该辞职还是该继续	有辞职的想法就辞职，不然一直煎熬着。
要换岗位了	这么美好你却不自知啊
负能量爆棚	加油，推自己一把，一定可以的！
我终于一无是处了	想起一句歌词：之所以活得洒脱，是因为懂得取舍
每天无所事事	遇到困难不要一个人扛
明天起正式进入待业党	累了就先休息一阵，重整再出发，加油
月薪真的太少了	能力支撑不住欲望的时候，确实是让人难过。
活压力太大了	提前祝您国庆快乐吧
待业一个月	可以肆意享受生活啦
找工作没啥进展	加油！不要放弃！面试了几家就更有经验了，会越来越好的
失去了快乐的能力	总结一句话，还是要保持一颗少年心啊
第一次自己一个人去食堂吃饭	真是优秀～勇于走出自己的舒适圈的小盆友值得一朵小红花
面试感觉过不了了	那就去下一家，你是最棒的
答辩通过啦！	太厉害了！！！优秀
世界上是不是没有做得很开心的工作	工作都是很枯燥乏味的啦，我觉得是选择一个不让你厌恶的就好
从抑郁症中走了出来	生活要继续，加油呀
说不去上班就不去	很棒呀，要劳逸结合
明天一定不去上班	说到做到的优秀品质做生意一定能发财 芝麻信用分很高吧
每一天都在思考	思则变，变则通，通则达
觉得自己好没用	丧是没用的，还得向前看
本人孤独十级	一切都会好起来的
今天不完美	要注意身体健康
领导说对我失望	领导永远都是有道理的，办了手续怼回去
今天面试睡过头了	这么淡定，楼主一看就是干大事的人
快赐我一个好工作吧	再坚持一会，一定能找到心仪的工作的
今天又被领导骂了	想想工资，别跟钱过不去，你说是吧。
今天辞职啦	向前跨出了一大步，很棒哦
发完工资就没钱了	你好会花钱呀
又不想上班	还是鼓起勇气了呢，棒
所有的考试都没过	加油，你一定可以的，下一次就考上啦
每天和情绪对抗的我	你做法很对，继续保持
生病了，被二房东赶了	加油，先养好病。
面试的想哭	找工作其实挺看运气的 , 可以多去其他地方试试 , 放心 , 工作会有的
面试创业公司算法岗失败了	没事，换下一个，冲鸭
实验做不出来哇哇哇哇	表扬！这就是科研精神！
今天去面试了新工作	但行好事，莫问前程。
实习一天就辞职了	聪明，看到是坑提前避开
今天真的好丧好丧	明天一定会好起来的
明天有视频面试	加油，你是最漂亮的
今天我面试成功啦	态度诚恳，表现出自己一定要好好干的决心！
租房子好难啊	租房子确实很麻烦，祝你成功哦！
觉得自己人生好苦啊	人生是百味的，苦只是一个过程
很努力第一份工作，结果被炒了	说明这个单位已经认识到自己配不上你了
所有大组都申请失败	下一次就好了呀
我感觉我快要失业了	马云说，他就喜欢招创业失败的简历
公司前景不行快要倒闭了	离开一个夕阳产业夕阳公司，而不是被他温水煮到无力离开
简历投了一个多月，石沉大海	天生我材必有用，会有合适的工作的！
天天浑身没劲，提不起来精神	你，散发着迷人的味道。
感觉很无能	不要灰心，只要你肯学，有能力，神马简历都是骗人哒！加油！
一边工作还得一边备考CPA	你真的很努力了，有的时候适当不要让自己绷那么紧
感觉自己的意志力太强了	那真是太棒啦！
经历难熬的三个月，我今天终于发工资了	大吉大利，苦尽甘来。
入职新工作啦！	新工作新开始恭喜
节后第一天上班困死了	上班意味着有工资，有工资就可以花裙子，穿上花裙子的你真好看。
从今天开始努力	不太懂，但是你应该很厉害
教师资格证笔试没过，求表扬	没事，不是差一分就好，继续加油啊哈哈哈
公务员面试被拒了	没事儿，机会的大门永远为你敞开
连续工作21天没有休息	好厉害！夸夸！祝成功呀
连续加班一个月了	为了社会主义的建设放弃了安逸，你就是最优秀的社会主义接班人！
天天加班到一点，累	好棒哦!不过忙完了注意休息哦~
我才加完班	努力工作，努力生活，真棒！
感觉自己是个累赘	别，如果你好好活着，我愿拍你500年马屁。
低谷期，安慰自己	低谷过后就是高潮啊~
家里蹲	度过那段瓶颈期，以后的你也会过得很好
我干过银行的大堂经理	好厉害啊，我这辈子都没见过这么多钱
今天面试出了结果	你已经很棒啦，人生还有很多选择，加油
即将实习的我，反而更加迷茫	以先去做，就算没什么想法也好。
我的一支股票跌停啦	触底了岂不是马上要反弹
